,title,overview,original_language,release_date,popularity,vote_count,vote_average
209,Clash of the Titans,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",en,2010-03-31,43.68,5541,5.9
210,District 9,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",en,2009-08-05,43.669,8225,7.4
211,Edge of Tomorrow,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",en,2014-05-27,43.598,12103,7.6
212,Shrek the Halls,"The Christmas tree isn't the only thing green in this new holiday classic. Shrek is back and trying to get into the spirit of the season. After promising Fiona and the kids a Christmas they'll remember, he is forced to take a crash course in the holiday. But just when he thinks he has everything for their quiet family Christmas just right, there is a knock at the door.",en,2007-11-28,43.58,681,6.3
213,Hotel Transylvania 2,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",en,2015-09-21,43.574,5016,6.8
214,Halfaouine: Boy of the Terraces,"Twelve-year-old Noura dangles uncertainly in that difficult netherworld between childhood and adulthood. His growing libido has gotten him banned from the women's baths, where his mother took him when he was younger, but he's not yet old enough to participate in grown-up discussions with the men of his Tunisian village. Noura's only real friend is a troublemaker named Salih -- the village political outcast.",ar,1990-09-14,43.559,30,6.8
215,Annabelle: Creation,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.",en,2017-08-03,43.426,4919,6.6
216,The Longest Yard,"Pro quarter-back, Paul Crewe and former college champion and coach, Nate Scarboro are doing time in the same prison. Asked to put together a team of inmates to take on the guards, Crewe enlists the help of Scarboro to coach the inmates to victory in a football game 'fixed' to turn out quite another way.",en,2005-05-27,43.425,2791,6.6
217,The Mountain Between Us,"Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.",en,2017-10-05,43.416,2062,6.6
218,The In Between,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",en,2022-02-11,39.325,514,7.4
219,WALL·E,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",en,2008-06-22,43.387,16392,8.1
220,Conan the Barbarian,"A quest that begins as a personal vendetta for the fierce Cimmerian warrior soon turns into an epic battle against hulking rivals, horrific monsters, and impossible odds, as Conan realizes he is the only hope of saving the great nations of Hyboria from an encroaching reign of supernatural evil.",en,2011-08-17,43.373,1620,5.3
221,The Jungle Book,"The boy Mowgli makes his way to the man-village with Bagheera, the wise panther. Along the way he meets jazzy King Louie, the hypnotic snake Kaa and the lovable, happy-go-lucky bear Baloo, who teaches Mowgli ""The Bare Necessities"" of life and the true meaning of friendship.",en,1967-10-18,43.343,5483,7.3
222,The Book of Life,"The journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.",en,2014-10-01,43.312,2298,7.5
223,Night at the Museum: Secret of the Tomb,"When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",en,2014-12-17,43.293,5194,6.2
224,Silverton Siege,"After a failed sabotage mission, a trio of anti-apartheid freedom fighters ends up in a tense bank hostage situation. Based on a true story.",en,2022-04-27,50.29,99,6.4
225,That's My Boy,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.",en,2012-06-14,43.215,1563,5.7
226,Antlers,"A small-town Oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences.",en,2021-10-28,43.14,822,6.3
227,Dark Phoenix,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.",en,2019-06-05,43.113,5520,6.0
228,Naruto to Boruto: The Live 2019,"“NARUTO to BORUTO THE LIVE 2019”, a special event for the 20th anniversary of the first publication of “NARUTO” series in Weekly Shonen Jump!! Featuring live performances by artists performing the theme songs of both “NARUTO” and “BORUTO: NARUTO NEXT GENERATIONS”, anime cast members reading original story episodes, and more.",ja,2019-05-05,43.034,29,7.1
229,Son of the Mask,"Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be.",en,2005-02-18,43.019,1538,4.1
230,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",en,1981-06-12,42.986,10519,7.9
231,Sex with Love,"In Santiago, Chile, the schoolteacher Luisa proposes a debate about sex with the parents of her students with the intention of giving classes about sex education to the youngsters.",es,2003-03-27,42.982,217,6.6
232,I Spit on Your Grave 2,"Naturally beautiful, Katie has just settled into New York where she, like many other young women, is trying to make it as a model. But what starts out as an innocent and simple photo shoot soon turns into something disturbingly unthinkable! Raped, tortured and kidnapped to a foreign country, Jessica is buried alive and left to die. Against all odds, she manages to escape. Severely injured, she will have to tap into the darkest places of the human psyche to not only survive, but to exact her revenge…",en,2013-08-25,42.936,1058,6.3
233,X-Deal 2,"In an island, a young couple, Emily and Peter, offers a sex swap with fellow guest Olivia, a hot lesbian. What starts as a mutually-beneficial deal turns rough and tumble when Peter demands more than what he bargained for.",tl,2022-03-25,37.663,5,6.8
234,Zeros and Ones,"Called to Rome to stop an imminent terrorist bombing, a soldier desperately seeks news of his imprisoned brother — a rebel with knowledge that could thwart the attack. Navigating the capital's darkened streets, he races to a series of ominous encounters to keep the Vatican from being blown to bits.",en,2021-11-18,42.931,176,5.0
235,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",en,2005-12-12,42.931,6845,6.9
236,Ice Age: Collision Course,"Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and locations.",en,2016-06-23,42.918,3907,6.1
237,Scouts Guide to the Zombie Apocalypse,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",en,2015-10-23,42.915,1596,6.5
238,The Substitute 2: School's Out,"When teacher Randall Thomasson is killed during a carjacking, an unexpected visitor shows up at his funeral - his estranged brother, Karl Thomasson. An ex-Green Beret turned mercenary, Karl signs on as a new substitute teacher in order to investigate Randall's murder.",en,1998-08-01,42.76,59,5.6
239,Taya,"Sixto explores the dangerous world of online ending for his thesis and gets involved with Winona, Nieves and Nanette.",tl,2021-08-27,35.883,6,5.3
240,Dragon Ball Z: Gather Together! Goku's World,"In this OVA, Goku and his friends pose questions for the viewers about the Dragon Ball series.",ja,1992-09-17,42.75,87,7.2
241,Friend Couples: Swapping,"I'm sick and tired of doing it with the same person! We've already seen everything; why don't we swap?  Seon-joo and Jae-yong and Tae-gyun and Ga-hee are two married couples from the same university. They go on a trip together and get drunk and talk about the good times they had and the times they had sex with each other's husband or wife. At first, they felt jealous over this but from some point on, they dream of something exciting once again.",ko,2017-02-14,42.74,0,0.0
242,Miracles from Heaven,"When Christy discovers her 10-year-old daughter Anna has a rare, incurable disease, she becomes a ferocious advocate for her daughter’s healing as she searches for a solution. After Anna has a freak accident and falls three stories, a miracle unfolds in the wake of her dramatic rescue that leaves medical specialists mystified, her family restored and their community inspired.",en,2016-03-17,42.729,1031,7.4
243,Sleeping Beauty,"A beautiful princess born in a faraway kingdom is destined by a terrible curse to prick her finger on the spindle of a spinning wheel and fall into a deep sleep that can only be awakened by true love's first kiss. Determined to protect her, her parents ask three fairies to raise her in hiding. But the evil Maleficent is just as determined to seal the princess's fate.",en,1959-02-17,42.696,4512,6.9
244,I Want to Eat Your Pancreas,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",ja,2018-09-14,42.652,1121,8.2
245,The Call of the Wild,"Buck is a big-hearted dog whose blissful domestic life is turned upside down when he is suddenly uprooted from his California home and transplanted to the exotic wilds of the Yukon during the Gold Rush of the 1890s. As the newest rookie on a mail delivery dog sled team—and later its leader—Buck experiences the adventure of a lifetime, ultimately finding his true place in the world and becoming his own master.",en,2020-02-19,42.618,3022,7.6
246,Peter Pan,"Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good.",en,1953-02-05,42.602,4679,7.2
247,Sicario: Day of the Soldado,Agent Matt Graver teams up with operative Alejandro Gillick to prevent Mexican drug cartels from smuggling terrorists across the United States border.,en,2018-06-27,42.586,2921,6.9
248,13 Hours: The Secret Soldiers of Benghazi,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,en,2016-01-14,42.577,2978,7.3
249,The Lion King 1½,Timon the meerkat and Pumbaa the warthog are best pals and the unsung heroes of the African savanna. This prequel to the smash Disney animated adventure takes you back -- way back -- before Simba's adventure began. You'll find out all about Timon and Pumbaa and tag along as they search for the perfect home and attempt to raise a rambunctious lion cub.,en,2004-02-06,42.545,2616,6.6
250,Scary Movie 4,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",en,2006-04-12,42.54,2744,5.5
251,Mrs. Harris Goes to Paris,A 1950s London cleaning lady falls in love with an haute couture dress by Christian Dior and decides to gamble everything for the sake of this folly.,en,2022-07-15,42.528,105,7.6
252,American Pie Presents: The Naked Mile,"When Erik Stifler realizes that he's the only Stifler family member who might graduate high school a virgin, he decides to live up to his legacy. After some well-meaning advice from Jim's dad, Erik's ready to take his chances at the annual and infamous Naked Mile race, where his devoted friends and some uninhibited sorority girls will create the most outrageous weekend ever.",en,2006-12-07,42.494,1747,5.5
253,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",en,2014-11-14,42.461,15157,8.0
254,Mission: Impossible - Fallout,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",en,2018-07-13,42.426,6874,7.4
255,The Lucky One,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,en,2012-04-19,42.418,3141,7.1
256,Sucker Punch,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",en,2011-03-24,42.396,4131,6.1
257,Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",en,1995-05-19,42.387,5236,7.2
258,Underworld: Awakening,"Having escaped years of imprisonment, vampire warrioress Selene finds herself in a changed world where humans have discovered the existence of both Vampire and Lycan clans and are conducting an all-out war to eradicate both immortal species. Now Selene must battle the humans and a frightening new breed of super Lycans to ensure the death dealers' survival.",en,2012-01-19,42.362,3599,6.3
259,Redemption Day,"When his wife is kidnapped by terrorists for ransom, veteran war hero Brad Paxton races against the clock to rescue her in a daring and deadly operation that pits him against powerful and dark forces.",en,2021-01-08,42.338,216,6.2
260,Megalodon,"A military vessel on the search for an unidentified submersible finds themselves face to face with a giant shark, forced to use only what they have on board to defend themselves from the monstrous beast.",en,2018-08-10,42.328,229,5.6
261,Trolls Holiday in Harmony,"Queen Poppy plans the first annual Trolls Kingdom Secret Holiday Gift Swap, but things don't go quite as expected.",en,2021-11-26,49.147,157,7.2
262,Rango,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",en,2011-03-02,42.288,5566,6.8
263,Ford v Ferrari,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",en,2019-11-13,42.246,6186,8.0
264,Wrath of the Titans,"Perseus tries to live a quieter life as a village fisherman while - dangerously weakened by humanity's lack of devotion - the gods are losing control of the long-imprisoned Titans and their ferocious leader, Kronos.",en,2012-03-28,42.242,3685,5.7
265,Berlin Drifters,"Kôichi is a Japanese man living alone in Berlin. He has no job and hardly any friends. One night Kôichi meets Ryota at a bar which is also a sex club. Ryota came to Berlin to visit a German guy whom he had ""met"" on a dating app. His high hopes for romance (and marriage?) were quickly crushed since the German was only interested in sex, not even letting Ryota stay for the night. That is why Ryota ended up spending the night in the dark room of the sex club. Kôichi for some reason lets Ryota stay at his apartment. They have sex. Ryota goes out almost everyday to get laid by various local men and comes home to Kôichi's. Increasingly caught up with a strange feeling that is akin to but not quite frustration or curiosity (needless to say, it is not even close to love), Kôichi gradually gives himself up to sex with Ryota.",ja,2017-09-10,42.206,8,4.6
266,Love Actually,"'Love Actually' follows the lives of eight very different couples dealing with their love lives, in various loosely and interrelated tales, all set during a frantic month before Christmas in London, England.",en,2003-09-07,42.202,5688,7.1
267,All the Old Knives,"When the CIA discovers one of its agents leaked information that cost more than 100 people their lives, veteran operative Henry Pelham is assigned to root out the mole with his former lover and colleague Celia Harrison.",en,2022-04-08,42.186,387,6.1
268,Mutual Relations,"Ho-kyeong, Joo-yeong and Yeon-hee are students of an American university who are all pretty and sexy. They either know too much or know too little so they decide to find men who can satisfy them. A lean man who was a former nude model, a younger man who has perfect techniques and a man who thinks very highly of women; these guys start the project!",ko,2015-12-01,42.104,6,6.2
269,The Santa Clause 3: The Escape Clause,"Now that Santa and Mrs. Claus have the North Pole running smoothly, the Counsel of Legendary Figures has called an emergency meeting on Christmas Eve! The evil Jack Frost has been making trouble, looking to take over the holiday! So he launches a plan to sabotage the toy factory and compel Scott to invoke the little-known Escape Clause and wish he'd never become Santa.",en,2006-11-01,42.104,877,5.5
270,Emancipation,"Inspired by the gripping true story of a man who would do anything for his family—and for freedom. When Peter, an enslaved man, risks his life to escape and return to his family, he embarks on a perilous journey of love and endurance.",en,2022-12-02,42.095,4,7.0
271,Arthur & Merlin: Knights of Camelot,King Arthur returns home after fighting the Roman Empire. His illegitimate son has corrupted the throne of Camelot and King Arthur must reunite with the wizard Merlin and the Knights of the Round Table to fight to get back his crown.,en,2020-05-28,42.091,117,5.3
272,Straight Outta Compton,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.",en,2015-08-11,41.93,3348,7.8
273,Need for Speed,"The film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New York-to-Los Angeles race to get revenge. But when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles.",en,2014-03-12,41.926,3761,6.4
274,The Valet,"World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover, Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.",en,2022-05-11,40.624,396,7.7
275,Peek at the Fire,Take a peek at the life of an unhappy housewife who finds passionate love from her neighbor and how their affair brings them closer to fire.,tl,2022-01-28,41.133,18,5.7
276,Rurouni Kenshin: The Final,"In 1879, Kenshin and his allies face their strongest enemy yet: his former brother-in-law Enishi Yukishiro and his minions, who've vowed their revenge.",ja,2021-04-23,41.832,355,7.8
277,Happy Feet,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",en,2006-11-16,41.831,4431,6.1
278,Nymphomaniac: Vol. II,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,en,2013-12-25,41.755,2527,6.8
279,Pearl Harbor,"The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.",en,2001-05-21,41.692,5553,6.9
280,Yu-Gi-Oh!: The Dark Side of Dimensions,Yugi and Kaiba have a special duel that transcends dimensions.,ja,2016-04-23,41.629,352,7.7
281,Saint Seiya: Legend of Sanctuary,"Warriors called ""Saints"" are the champions of hope who have always appeared since the Age of Myth whenever evil threatens the world. In this present day story, many years since the long fought ""Holy War"" we find Saori Kido, a girl troubled by her mysterious powers. She is saved by a boy, Seiya ""Bronze Saint"" from a sudden attack by an assassin, through the accident Saori realizes her destiny and mission and decides to go to ""Sanctuary"" with Seiya and his company of Bronze Saints. In Sanctuary they confront ""Pope"" and wage a desperate battle against the greatest Saints, the ""Gold Saints"".",ja,2014-06-21,41.626,566,6.5
282,Veneciafrenia,A group of spanish tourists in Venice finds themselves fighting for their lives against locals that are not too keen on foreigners.,es,2022-04-22,41.531,154,6.2
283,Batman,"Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld.",en,1989-06-23,41.517,6622,7.2
284,Pelé,"Against the backdrop of a turbulent era in Brazil, this documentary captures Pelé's extraordinary path from breakthrough talent to national hero. Mixing rare archival footage and exclusive interviews, this documentary celebrates the legendary Brazilian footballer who personified football as art.",pt,2021-02-23,41.492,146,7.5
285,Corpus Christi,"A pious 20-year-old juvenile delinquent is sent to work at a sawmill in a small town; on arrival, he dresses up as a priest and accidentally takes over the local parish. The arrival of this young, charismatic preacher is an opportunity for the local community to begin the healing process after a tragedy that happened a year prior.",pl,2019-09-10,41.48,433,7.7
286,Zack and Miri Make a Porno,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",en,2008-09-18,41.469,1999,6.3
287,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,en,1990-12-05,41.466,11364,7.7
288,Peter Rabbit 2: The Runaway,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.",en,2021-03-25,41.461,629,7.2
289,Warcraft,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",en,2016-05-25,41.447,6002,6.3
290,One Day,"A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",en,2011-03-02,41.423,3682,7.4
291,The Purge: Anarchy,"One night per year, the government sanctions a 12-hour period in which citizens can commit any crime they wish -- including murder -- without fear of punishment or imprisonment. Leo, a sergeant who lost his son, plans a vigilante mission of revenge during the mayhem. However, instead of a death-dealing avenger, he becomes the unexpected protector of four innocent strangers who desperately need his help if they are to survive the night.",en,2014-07-17,41.4,5758,6.7
292,My Girlfriend's Mother 3,"The man was originally very loving with his girlfriend, and often did some exciting love, including in public places. However, when the man went to his girlfriend's house to see the future mother-in-law, things began to reverse, and the first rushed into it. The mother-in-law’s bathroom made the man’s heart yy, and all this has just begun, because the mother-in-law also discovered his huge genitals...",ko,2019-03-22,28.972,0,0.0
293,Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",en,2017-04-12,41.384,4586,8.0
294,Father There Is Only One 2,The success of the Conchy virtual assistant (which was developed by Javier) has earned him a favorable spot in the parents chat room - until something unexpected ruins it all.,es,2020-07-29,41.376,463,7.5
295,Bruce Almighty,"Bruce Nolan toils as a 'human interest' television reporter in Buffalo, N.Y., but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God—and the Almighty responds, endowing Bruce with all of His divine powers.",en,2003-05-23,41.37,9466,6.7
296,Suicide Squad: Hell to Pay,Task Force X targets a powerful mystical object that they will risk their lives to steal.,en,2018-05-09,41.331,495,7.1
297,Dragon Ball Z: Bio-Broly,"Jaga Bada, Mr. Satan's old sparring partner, has invited Satan to his personal island to hold a grudge match. Trunks and Goten decide to come for the adventure and Android #18 is following Satan for the money he owes her. Little do they know that Jaga Bada's scientist have found a way to resurrect Broly, the legendary Super Saiyan.",ja,1994-07-09,41.329,433,5.7
298,Irreversible,A woman’s lover and her ex-boyfriend take justice into their own hands after she becomes the victim of a rapist.,fr,2002-05-22,41.327,2313,7.2
299,Planet of the Apes,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",en,2001-07-25,41.324,3426,5.7
300,The Drover's Wife: The Legend of Molly Johnson,"In 1893, heavily pregnant Molly Johnson and her children struggle in isolation to survive the harsh Australian landscape after her husband left to go droving sheep in the high country. One day, she finds a shackled Aboriginal fugitive named Yakada wounded on her property. As an unlikely bond begins to form between them he reveals secrets about her true identity. Realizing Molly’s husband is actually missing, new town lawman Nate Clintoff starts being suspicious and sends his constable to investigate.",en,2022-05-05,41.313,10,5.1
301,Don't Look Up,Two American astronomers attempt to warn humankind about an approaching comet that will wipe out life on planet Earth.,en,2021-12-07,41.266,6254,7.2
302,American Pie Presents: Beta House,"Erik, Ryan, and Cooze start college and pledge the Beta House fraternity, presided over by none other than legendary Dwight Stifler. But chaos ensues when a fraternity of geeks threatens to stop the debauchery and the Betas have to make a stand for their right to party.",en,2007-12-10,41.206,1618,5.6
303,Home Alone: The Holiday Heist,"8-year-old Finn is terrified to learn his family is relocating from sunny California to Maine in the scariest house he has ever seen! Convinced that his new house is haunted, Finn sets up a series of elaborate traps to catch the “ghost” in action. Left home alone with his sister while their parents are stranded across town, Finn’s traps catch a new target – a group of thieves who have targeted Finn’s house.",en,2012-11-25,41.195,339,5.2
304,Rush Hour 3,"After a botched assassination attempt, the mismatched duo finds themselves in Paris, struggling to retrieve a precious list of names, as the murderous crime syndicate's henchmen try their best to stop them. Once more, Lee and Carter must fight their way through dangerous gangsters; however, this time, the past has come back to haunt Lee. Will the boys get the job done once and for all?",en,2007-08-08,41.153,2630,6.4
305,War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",en,2005-06-28,41.146,7215,6.5
306,Recep İvedik 7,"Recep and Nurullah decide to go village house, which is inherited from his grandma. Recep finds out the existence of a big project, that will damage the village and the surrounding forests. Villagers will fight against the project with Recep's leadership.",tr,2022-12-09,41.136,0,0.0
307,The Angry Birds Movie 2,"Red, Chuck, Bomb and the rest of their feathered friends are surprised when a green pig suggests that they put aside their differences and unite to fight a common threat. Aggressive birds from an island covered in ice are planning to use an elaborate weapon to destroy the fowl and swine.",en,2019-08-02,41.126,1370,7.1
308,The School of the Magical Animals,"Ida has a hard time making friends. One day, her weird class teacher announces that everyone in the class will have a magical animal with them. Ida is put to the side of the fox Rabbat. Benni, just like Ida also an outsider, has the turtle Henrietta as a new companion. Together they have amazing adventures ahead of them, but will they be able to fulfill the main requirement of the ""Magic Pet Shop"": to keep their new friends a secret from adults?",de,2021-10-14,42.702,33,6.1
309,The Perfect Dinner,"Based on a story by Stefano Sardo, The Perfect Dinner follows Carmine (Salvatore Esposito, Gomorrah series), a Neapolitan mafioso who isn’t cut out for the criminal life. Under the protection of his boss Pasquale (Gianfranco Gallo), Carmine is sent north to run a money laundering operation through a restaurant. He simply needs to defrost frozen meals, issue receipts and dinner is served.  But everything changes when he meets Consuelo (Greta Scarano), a chef who always pursues perfection and dreams of winning a Michelin star. Carmine hires her and decides to transform the establishment into a high-end restaurant. Could the love for food and dream of winning a Michelin star give them both a second chance?",it,2022-04-26,41.105,80,6.4
310,Indiana Jones and the Last Crusade,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",en,1989-05-24,41.104,8490,7.8
311,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",en,2009-06-19,41.044,7390,6.1
312,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",en,2008-05-15,41.024,5540,6.6
313,The Heart of Europe,"The filmmaker Julián Pintos and his alter ego find themselves confined to their isolated home in the countryside during the pandemic ravaging Europe in the 21st century and embark on a strange journey of initiation, in which they will meet the mysterious Silver Mask (Myriam) and the two disturbing theatre masks, muses of comedy and tragedy, split into Esther and Diana. The characters are trapped in an enigmatic time tunnel and their only escape is to find the heart of Europe, recalling their respective pasts linked to the Old Continent and bringing to the surface the deepest ghosts and fears that each of them hides.",es,2022-05-27,52.73,1,2.0
